word,lemma,porter_stem
the,the,the
of,of,of
and,and,and
in,in,in
to,to,to
was,be,wa
he,he,he
is,be,is
as,as,as
for,for,for
on,on,on
with,with,with
that,that,that
it,it,it
his,his,hi
by,by,by
at,at,at
from,from,from
her,she,her
she,she,she
you,you,you
had,have,had
an,an,an
were,be,were
but,but,but
be,be,be
this,this,thi
are,be,are
not,not,not
my,my,my
they,they,they
one,one,one
which,which,which
or,or,or
have,have,have
him,he,him
me,I,me
first,first,first
all,all,all
also,also,also
their,their,their
has,have,ha
up,up,up
who,who,who
out,out,out
been,be,been
when,when,when
after,after,after
there,there,there
into,into,into
new,new,new
two,two,two
its,its,it
time,time,time
would,would,would
no,no,no
what,what,what
about,about,about
said,say,said
we,we,we
over,over,over
then,then,then
other,other,other
so,so,so
more,more,more
can,can,can
if,if,if
like,like,like
back,back,back
them,they,them
only,only,onli
some,some,some
could,could,could
where,where,where
just,just,just
during,during,dure
before,before,befor
do,do,do
made,make,made
school,school,school
through,through,through
than,than,than
now,now,now
years,year,year
most,most,most
world,world,world
may,may,may
between,between,between
down,down,down
well,well,well
three,three,three
year,year,year
while,while,while
will,will,will
later,later,later
city,city,citi
under,under,under
around,around,around
did,do,did
such,such,such
being,be,be
used,use,use
state,state,state
people,people,peopl
part,part,part
know,know,know
against,against,against
your,your,your
many,many,mani
second,second,second
university,university,univers
both,both,both
national,national,nation
these,these,these
don,don,don
known,know,known
off,off,off
way,way,way
until,until,until
re,re,re
how,how,how
even,even,even
get,get,get
head,head,head
didn,didn,didn
team,team,team
american,american,american
because,because,becaus
de,de,de
born,bear,born
united,united,unit
film,film,film
since,since,sinc
still,still,still
long,long,long
work,work,work
south,south,south
us,we,us
became,become,becam
any,any,ani
high,high,high
again,again,again
day,day,day
family,family,famili
see,see,see
right,right,right
man,man,man
eyes,eyes,eye
house,house,hous
season,season,season
war,war,war
states,state,state
including,include,includ
took,take,took
life,life,life
north,north,north
same,same,same
each,each,each
called,call,call
name,name,name
much,much,much
place,place,place
however,however,howev
go,go,go
four,four,four
group,group,group
another,another,anoth
found,find,found
won,win,won
area,area,area
here,here,here
going,go,go
away,away,away
series,series,seri
left,leave,left
home,home,home
music,music,music
best,well,best
make,make,make
hand,hand,hand
number,number,number
company,company,compani
several,several,sever
never,never,never
last,last,last
john,john,john
very,very,veri
album,album,album
take,take,take
end,end,end
good,good,good
too,too,too
following,follow,follow
released,release,releas
game,game,game
played,play,play
little,little,littl
began,begin,began
district,district,district
old,old,old
want,want,want
those,those,those
side,side,side
held,hold,held
own,own,own
early,early,earli
county,county,counti
ll,ll,ll
league,league,leagu
use,use,use
west,west,west
face,face,face
think,think,think
government,government,govern
march,march,march
came,come,came
small,small,small
general,general,gener
town,town,town
june,june,june
line,line,line
based,base,base
something,something,someth
september,september,septemb
thought,thought,thought
looked,look,look
along,along,along
international,international,intern
air,air,air
july,july,juli
club,club,club
went,go,went
january,january,januari
october,october,octob
our,our,our
august,august,august
april,april,april
york,york,york
few,few,few
east,east,east
show,show,show
member,member,member
college,college,colleg
father,father,father
public,public,public
come,come,come
men,man,men
five,five,five
set,set,set
station,station,station
church,church,church
next,next,next
former,former,former
november,november,novemb
room,room,room
party,party,parti
located,locate,locat
december,december,decemb
age,age,age
got,get,got
system,system,system
let,let,let
love,love,love
though,though,though
every,every,everi
look,look,look
song,song,song
water,water,water
century,century,centuri
without,without,without
body,body,bodi
black,black,black
night,night,night
within,within,within
great,great,great
women,woman,women
single,single,singl
ve,ve,ve
building,build,build
large,large,larg
population,population,popul
river,river,river
named,name,name
band,band,band
white,white,white
started,start,start
once,once,onc
should,should,should
service,service,servic
top,top,top
built,build,built
british,british,british
open,open,open
death,death,death
king,king,king
moved,move,move
local,local,local
times,time,time
children,child,children
february,february,februari
book,book,book
why,why,whi
door,door,door
need,need,need
president,president,presid
order,order,order
final,final,final
road,road,road
wasn,wasn,wasn
although,although,although
due,due,due
major,major,major
died,die,die
village,village,villag
third,third,third
knew,know,knew
asked,ask,ask
turned,turn,turn
st,st,st
wanted,want,want
say,say,say
together,together,togeth
received,receive,receiv
main,main,main
son,son,son
served,serve,serv
different,different,differ
behind,behind,behind
himself,himself,himself
felt,feel,felt
members,member,member
power,power,power
football,football,footbal
law,law,law
voice,voice,voic
play,play,play
near,near,near
park,park,park
history,history,histori
having,having,have
saw,see,saw
mother,mother,mother
army,army,armi
point,point,point
front,front,front
help,help,help
english,english,english
street,street,street
art,art,art
late,late,late
hands,hand,hand
games,game,game
award,award,award
young,young,young
put,put,put
published,publish,publish
country,country,countri
division,division,divis
across,across,across
told,tell,told
often,often,often
ever,ever,ever
french,french,french
london,london,london
center,center,center
six,six,six
red,red,red
led,lead,led
days,day,day
include,include,includ
light,light,light
find,find,find
tell,tell,tell
among,among,among
species,specie,speci
really,really,realli
according,accord,accord
central,central,central
half,half,half
form,form,form
original,original,origin
gave,give,gave
office,office,offic
making,make,make
enough,enough,enough
lost,lose,lost
full,full,full
opened,open,open
must,must,must
included,include,includ
live,live,live
given,give,given
german,german,german
player,player,player
run,run,run
business,business,busi
woman,woman,woman
community,community,commun
cup,cup,cup
might,might,might
million,million,million
land,land,land
court,court,court
development,development,develop
short,short,short
round,round,round
ii,ii,ii
km,km,km
seen,see,seen
class,class,class
story,story,stori
always,always,alway
become,become,becom
sure,sure,sure
research,research,research
almost,almost,almost
director,director,director
council,council,council
la,la,la
career,career,career
things,thing,thing
using,use,use
island,island,island
couldn,couldn,couldn
car,car,car
close,close,close
force,force,forc
better,well,better
free,free,free
support,support,support
control,control,control
field,field,field
students,student,student
education,education,educ
married,marry,marri
nothing,nothing,noth
worked,work,work
others,other,other
record,record,record
big,big,big
inside,inside,insid
level,level,level
anything,anything,anyth
continued,continue,continu
give,give,give
james,james,jame
military,military,militari
established,establish,establish
non,non,non
returned,return,return
feel,feel,feel
does,do,doe
title,title,titl
written,write,written
thing,thing,thing
feet,foot,feet
william,william,william
far,far,far
co,co,co
association,association,associ
hard,hard,hard
already,already,alreadi
championship,championship,championship
human,human,human
western,western,western
department,department,depart
hall,hall,hall
role,role,role
various,various,variou
production,production,product
heart,heart,heart
living,live,live
fire,fire,fire
version,version,version
television,television,televis
royal,royal,royal
produced,produce,produc
working,work,work
act,act,act
case,case,case
society,society,societi
region,region,region
present,present,present
radio,radio,radio
period,period,period
looking,look,look
least,least,least
total,total,total
keep,keep,keep
england,england,england
wife,wife,wife
program,program,program
per,per,per
brother,brother,brother
mind,mind,mind
special,special,special
am,am,am
works,work,work
soon,soon,soon
political,political,polit
george,george,georg
services,service,servic
taken,take,taken
created,create,creat
further,far,further
able,able,abl
reached,reach,reach
david,david,david
union,union,union
joined,join,join
upon,upon,upon
done,do,done
important,important,import
social,social,social
information,information,inform
either,either,either
appeared,appear,appear
position,position,posit
ground,ground,ground
lead,lead,lead
rock,rock,rock
dark,dark,dark
election,election,elect
board,board,board
france,france,franc
hair,hair,hair
course,course,cours
arms,arm,arm
site,site,site
police,police,polic
girl,girl,girl
instead,instead,instead
real,real,real
sound,sound,sound
words,word,word
moment,moment,moment
someone,someone,someon
summer,summer,summer
project,project,project
announced,announce,announc
san,san,san
less,less,less
wrote,write,wrote
past,past,past
followed,follow,follow
blue,blue,blue
founded,found,found
al,al,al
finally,finally,final
india,india,india
taking,take,take
records,record,record
america,america,america
design,design,design
considered,consider,consid
northern,northern,northern
god,god,god
stop,stop,stop
battle,battle,battl
toward,toward,toward
european,european,european
outside,outside,outsid
described,describe,describ
track,track,track
today,today,today
playing,play,play
language,language,languag
call,call,call
heard,hear,heard
professional,professional,profession
low,low,low
australia,australia,australia
miles,mile,mile
california,california,california
win,win,win
yet,yet,yet
green,green,green
trying,try,tri
blood,blood,blood
southern,southern,southern
science,science,scienc
maybe,maybe,mayb
everything,everything,everyth
match,match,match
square,square,squar
mouth,mouth,mouth
video,video,video
race,race,race
recorded,record,record
leave,leave,leav
above,above,abov
daughter,daughter,daughter
points,point,point
space,space,space
museum,museum,museum
change,change,chang
middle,middle,middl
common,common,common
move,move,move
tv,tv,tv
post,post,post
lake,lake,lake
seven,seven,seven
tried,try,tri
elected,elect,elect
closed,close,close
ten,ten,ten
paul,paul,paul
minister,minister,minist
months,month,month
start,start,start
chief,chief,chief
return,return,return
canada,canada,canada
person,person,person
sea,sea,sea
release,release,releas
similar,similar,similar
modern,modern,modern
brought,bring,brought
rest,rest,rest
hit,hit,hit
formed,form,form
mr,mr,mr
floor,floor,floor
event,event,event
doing,do,do
thomas,thomas,thoma
robert,robert,robert
care,care,care
killed,kill,kill
training,training,train
star,star,star
week,week,week
needed,need,need
turn,turn,turn
finished,finished,finish
railway,railway,railway
rather,rather,rather
news,news,news
health,health,health
sent,send,sent
example,example,exampl
ran,run,ran
term,term,term
michael,michael,michael
coming,come,come
currently,currently,current
yes,yes,ye
forces,force,forc
despite,despite,despit
gold,gold,gold
areas,area,area
stage,stage,stage
fact,fact,fact
dead,dead,dead
says,say,say
popular,popular,popular
originally,originally,origin
germany,germany,germani
probably,probably,probabl
developed,develop,develop
result,result,result
pulled,pull,pull
friend,friend,friend
stood,stand,stood
money,money,money
running,run,run
mi,mi,mi
signed,sign,sign
word,word,word
songs,song,song
child,child,child
eventually,eventually,eventu
met,meet,met
tour,tour,tour
average,average,averag
teams,team,team
minutes,minute,minut
festival,festival,festiv
current,current,current
deep,deep,deep
kind,kind,kind
decided,decide,decid
usually,usually,usual
eastern,eastern,eastern
seemed,seem,seem
episode,episode,episod
bed,bed,bed
added,add,ad
table,table,tabl
indian,indian,indian
private,private,privat
charles,charles,charl
route,route,rout
available,available,avail
idea,idea,idea
throughout,throughout,throughout
centre,centre,centr
addition,addition,addit
appointed,appoint,appoint
style,style,style
books,book,book
eight,eight,eight
construction,construction,construct
press,press,press
mean,mean,mean
wall,wall,wall
friends,friend,friend
remained,remain,remain
schools,school,school
study,study,studi
institute,institute,institut
oh,oh,oh
chinese,chinese,chines
sometimes,sometimes,sometim
events,event,event
possible,possible,possibl
australian,australian,australian
type,type,type
brown,brown,brown
forward,forward,forward
talk,talk,talk
process,process,process
food,food,food
debut,debut,debut
seat,seat,seat
performance,performance,perform
committee,committee,committe
features,feature,featur
character,character,charact
arts,art,art
herself,herself,herself
else,else,els
lot,lot,lot
strong,strong,strong
russian,russian,russian
range,range,rang
hours,hour,hour
peter,peter,peter
arm,arm,arm
morning,morning,morn
dr,dr,dr
sold,sell,sold
quickly,quickly,quickli
directed,direct,direct
guitar,guitar,guitar
china,china,china
list,list,list
performed,perform,perform
media,medium,media
uk,uk,uk
players,player,player
smile,smile,smile
myself,myself,myself
placed,place,place
coach,coach,coach
province,province,provinc
towards,towards,toward
wouldn,wouldn,wouldn
leading,lead,lead
whole,whole,whole
boy,boy,boy
official,official,offici
designed,design,design
grand,grand,grand
census,census,censu
europe,europe,europ
attack,attack,attack
japanese,japanese,japanes
henry,henry,henri
cross,cross,cross
getting,get,get
alone,alone,alon
action,action,action
lower,low,lower
network,network,network
wide,wide,wide
washington,washington,washington
japan,japan,japan
hospital,hospital,hospit
believe,believe,believ
changed,change,chang
sister,sister,sister
hold,hold,hold
gone,go,gone
sir,sir,sir
hadn,hadn,hadn
ship,ship,ship
studies,studies,studi
academy,academy,academi
shot,shoot,shot
rights,right,right
below,below,below
base,base,base
bad,bad,bad
involved,involve,involv
kept,keep,kept
largest,large,largest
bank,bank,bank
future,future,futur
especially,especially,especi
beginning,begin,begin
mark,mark,mark
movement,movement,movement
section,section,section
female,female,femal
magazine,magazine,magazin
plan,plan,plan
professor,professor,professor
lord,lord,lord
longer,long,longer
sat,sit,sat
walked,walk,walk
hill,hill,hill
actually,actually,actual
civil,civil,civil
energy,energy,energi
model,model,model
families,family,famili
size,size,size
thus,thus,thu
aircraft,aircraft,aircraft
completed,complete,complet
includes,include,includ
data,datum,data
captain,captain,captain
fight,fight,fight
vocals,vocal,vocal
featured,feature,featur
richard,richard,richard
bridge,bridge,bridg
fourth,fourth,fourth
officer,officer,offic
stone,stone,stone
hear,hear,hear
means,mean,mean
medical,medical,medic
groups,group,group
management,management,manag
self,self,self
lips,lip,lip
competition,competition,competit
entire,entire,entir
lived,live,live
technology,technology,technolog
leaving,leave,leav
federal,federal,feder
tournament,tournament,tournament
bit,bit,bit
passed,pass,pass
hot,hot,hot
independent,independent,independ
awards,award,award
kingdom,kingdom,kingdom
mary,mary,mari
spent,spend,spent
fine,fine,fine
doesn,doesn,doesn
reported,report,report
jack,jack,jack
fall,fall,fall
raised,raise,rais
itself,itself,itself
stay,stay,stay
true,true,true
studio,studio,studio
sports,sport,sport
replaced,replace,replac
paris,paris,pari
systems,system,system
saint,saint,saint
leader,leader,leader
theatre,theatre,theatr
whose,whose,whose
market,market,market
capital,capital,capit
parents,parent,parent
spanish,spanish,spanish
canadian,canadian,canadian
earth,earth,earth
cut,cut,cut
degree,degree,degre
writing,writing,write
bay,bay,bay
christian,christian,christian
awarded,award,award
natural,natural,natur
higher,high,higher
bill,bill,bill
coast,coast,coast
provided,provide,provid
previous,previous,previou
senior,senior,senior
ft,ft,ft
valley,valley,valley
organization,organization,organ
stopped,stop,stop
onto,onto,onto
countries,country,countri
parts,part,part
conference,conference,confer
queen,queen,queen
security,security,secur
interest,interest,interest
saying,say,say
allowed,allow,allow
master,master,master
earlier,early,earlier
phone,phone,phone
matter,matter,matter
smith,smith,smith
winning,winning,win
try,try,tri
happened,happen,happen
moving,move,move
campaign,campaign,campaign
los,los,lo
breath,breath,breath
nearly,nearly,nearli
mid,mid,mid
certain,certain,certain
girls,girl,girl
date,date,date
italian,italian,italian
african,african,african
standing,standing,stand
fell,fall,fell
artist,artist,artist
shows,show,show
deal,deal,deal
mine,mine,mine
industry,industry,industri
everyone,everyone,everyon
republic,republic,republ
provide,provide,provid
collection,collection,collect
library,library,librari
student,student,student
primary,primary,primari
owned,own,own
older,old,older
via,via,via
heavy,heavy,heavi
makes,make,make
attention,attention,attent
anyone,anyone,anyon
africa,africa,africa
stated,state,state
length,length,length
ended,end,end
fingers,finger,finger
command,command,command
staff,staff,staff
skin,skin,skin
foreign,foreign,foreign
opening,open,open
governor,governor,governor
okay,okay,okay
medal,medal,medal
kill,kill,kill
sun,sun,sun
cover,cover,cover
job,job,job
introduced,introduce,introduc
chest,chest,chest
hell,hell,hell
feeling,feel,feel
success,success,success
meet,meet,meet
reason,reason,reason
standard,standard,standard
meeting,meeting,meet
novel,novel,novel
trade,trade,trade
source,source,sourc
buildings,building,build
rose,rise,rose
guy,guy,guy
goal,goal,goal
chapter,chapter,chapter
native,native,nativ
husband,husband,husband
previously,previously,previous
unit,unit,unit
limited,limit,limit
entered,enter,enter
weeks,week,week
producer,producer,produc
operations,operation,oper
mountain,mountain,mountain
takes,take,take
covered,cover,cover
forced,force,forc
related,relate,relat
roman,roman,roman
complete,complete,complet
successful,successful,success
key,key,key
texas,texas,texa
cold,cold,cold
channel,channel,channel
traditional,traditional,tradit
films,film,film
dance,dance,danc
clear,clear,clear
approximately,approximately,approxim
nine,nine,nine
van,van,van
prince,prince,princ
question,question,question
active,active,activ
tracks,track,track
ireland,ireland,ireland
regional,regional,region
silver,silver,silver
author,author,author
personal,personal,person
sense,sense,sens
operation,operation,oper
economic,economic,econom
holding,hold,hold
twenty,twenty,twenti
isbn,isbn,isbn
additional,additional,addit
speed,speed,speed
hour,hour,hour
edition,edition,edit
regular,regular,regular
historic,historic,histor
places,place,place
whom,whom,whom
shook,shake,shook
movie,movie,movi
secretary,secretary,secretari
prior,prior,prior
report,report,report
chicago,chicago,chicago
read,read,read
foundation,foundation,foundat
view,view,view
engine,engine,engin
scored,score,score
units,unit,unit
ask,ask,ask
airport,airport,airport
property,property,properti
ready,ready,readi
immediately,immediately,immedi
lady,lady,ladi
month,month,month
listed,list,list
contract,contract,contract
manager,manager,manag
themselves,themselves,themselv
lines,line,line
navy,navy,navi
writer,writer,writer
meant,mean,meant
runs,run,run
practice,practice,practic
championships,championship,championship
singer,singer,singer
glass,glass,glass
commission,commission,commiss
required,require,requir
forest,forest,forest
starting,start,start
culture,culture,cultur
generally,generally,gener
giving,give,give
access,access,access
attended,attend,attend
test,test,test
couple,couple,coupl
stand,stand,stand
catholic,catholic,cathol
martin,martin,martin
caught,catch,caught
executive,executive,execut
eye,eye,eye
thinking,thinking,think
chair,chair,chair
quite,quite,quit
shoulder,shoulder,shoulder
hope,hope,hope
decision,decision,decis
plays,play,play
defeated,defeat,defeat
municipality,municipality,municip
whether,whether,whether
structure,structure,structur
offered,offer,offer
slowly,slowly,slowli
pain,pain,pain
ice,ice,ice
direction,direction,direct
paper,paper,paper
mission,mission,mission
mostly,mostly,mostli
noted,note,note
individual,individual,individu
managed,manage,manag
nature,nature,natur
lives,live,live
plant,plant,plant
helped,help,help
except,except,except
studied,study,studi
computer,computer,comput
figure,figure,figur
relationship,relationship,relationship
issue,issue,issu
significant,significant,signific
loss,loss,loss
die,die,die
smiled,smile,smile
gun,gun,gun
ago,ago,ago
highest,high,highest
male,male,male
bring,bring,bring
goals,goal,goal
mexico,mexico,mexico
problem,problem,problem
distance,distance,distanc
commercial,commercial,commerci
completely,completely,complet
location,location,locat
annual,annual,annual
famous,famous,famou
drive,drive,drive
neck,neck,neck
surface,surface,surfac
caused,cause,caus
italy,italy,itali
understand,understand,understand
greek,greek,greek
highway,highway,highway
wrong,wrong,wrong
hotel,hotel,hotel
comes,come,come
appearance,appearance,appear
joseph,joseph,joseph
double,double,doubl
issues,issue,issu
musical,musical,music
companies,company,compani
castle,castle,castl
income,income,incom
review,review,review
assembly,assembly,assembl
bass,bass,bass
initially,initially,initi
parliament,parliament,parliament
artists,artist,artist
experience,experience,experi
particular,particular,particular
walk,walk,walk
foot,foot,foot
engineering,engineering,engin
talking,talk,talk
window,window,window
dropped,drop,drop
miss,miss,miss
baby,baby,babi
boys,boy,boy
break,break,break
stars,star,star
edge,edge,edg
remember,remember,rememb
policy,policy,polici
carried,carry,carri
train,train,train
stadium,stadium,stadium
bar,bar,bar
sex,sex,sex
angeles,angele,angel
evidence,evidence,evid
becoming,become,becom
assistant,assistant,assist
soviet,soviet,soviet
upper,upper,upper
step,step,step
wing,wing,wing
youth,youth,youth
financial,financial,financi
reach,reach,reach
actor,actor,actor
numerous,numerous,numer
nodded,nod,nod
arrived,arrive,arriv
minute,minute,minut
believed,believe,believ
sorry,sorry,sorri
complex,complex,complex
beautiful,beautiful,beauti
victory,victory,victori
associated,associate,associ
temple,temple,templ
chance,chance,chanc
perhaps,perhaps,perhap
metal,metal,metal
bishop,bishop,bishop
lee,lee,lee
launched,launch,launch
particularly,particularly,particularli
tree,tree,tree
le,le,le
retired,retire,retir
subject,subject,subject
prize,prize,prize
contains,contain,contain
yeah,yeah,yeah
theory,theory,theori
empire,empire,empir
suddenly,suddenly,suddenli
waiting,wait,wait
trust,trust,trust
recording,record,record
happy,happy,happi
terms,term,term
camp,camp,camp
champion,champion,champion
religious,religious,religi
pass,pass,pass
zealand,zealand,zealand
names,names,name
port,port,port
ancient,ancient,ancient
tom,tom,tom
corner,corner,corner
represented,represent,repres
watch,watch,watch
legal,legal,legal
anti,anti,anti
justice,justice,justic
cause,cause,caus
watched,watch,watch
brothers,brother,brother
material,material,materi
changes,change,chang
simply,simply,simpli
response,response,respons
louis,louis,loui
fast,fast,fast
answer,answer,answer
historical,historical,histor
stories,story,stori
straight,straight,straight
create,create,creat
feature,feature,featur
increased,increase,increas
rate,rate,rate
administration,administration,administr
virginia,virginia,virginia
el,el,el
activities,activities,activ
cultural,cultural,cultur
overall,overall,overal
winner,winner,winner
programs,programs,program
basketball,basketball,basketbal
legs,leg,leg
guard,guard,guard
beyond,beyond,beyond
cast,cast,cast
doctor,doctor,doctor
mm,mm,mm
flight,flight,flight
results,result,result
remains,remain,remain
cost,cost,cost
effect,effect,effect
winter,winter,winter
larger,large,larger
islands,island,island
problems,problem,problem
chairman,chairman,chairman
grew,grow,grew
commander,commander,command
